symbols,href,id,currency,fold
hdit,/equities/hensel-davest-indonesia-tbk-pt,1141607,IDR,Millions
psdn,/equities/prasidha-aneka,101258,IDR,Millions
pdes,/equities/destinasi-tirt,101225,IDR,Millions
lpin,/equities/multi-prima-se,101519,IDR,Millions
tris,/equities/trisula-intern,101616,IDR,Millions
dpns,/equities/dt-pertiwi-nus,101391,IDR,Millions
rony,/equities/aesler-grup-internasional-tbk-pt,1159434,IDR,Millions
hade,/equities/hd-capital,943655,IDR,Millions
dsfi,/equities/dharma-samuder,101389,IDR,Millions
alka,/equities/alakasa-industrindo-tbk,953124,IDR,Millions
hkmu,/equities/hk-metals-utama,1096523,IDR,Millions
pudp,/equities/pudjiadi-prest,101551,IDR,Millions
pura,/equities/putra-rajawali-kencana-pt,1156644,IDR,Millions
boba,/equities/formosa-ingredient-factory-pt-tbk,1179151,IDR,Millions
ertx,/equities/eratex-djaja-t,101229,USD,Millions
lrna,/equities/eka-sari-loren,102133,IDR,Millions
beer,/equities/jobubu-jarum-minahasa-pt-tbk,1198667,IDR,Millions
mami,/equities/mas-murni-sb,943649,USD,Millions
intd,/equities/inter-delta-tbk-pt,946578,IDR,Millions
tira,/equities/tira-austenite-tbk-pt,946577,IDR,Millions
luck,/equities/sentral-mitra-informatika,1114548,IDR,Millions
lucy,/equities/lima-dua-lima-tiga-pt,1173015,IDR,Millions
daya,/equities/duta-intidaya-tbk-pt,985737,IDR,Millions
inov,/equities/inocycle-technology-tbk-pt,1141609,IDR,Millions
dewi,/equities/pt-dewi-shri-farmindo-tbk,1192862,IDR,Millions
wapo,/equities/wahana-pronatu,101630,IDR,Millions
ibfn,/equities/intan-baruprana-finance-tbk-pt,943644,IDR,Millions
dada,/equities/diamond-citra-propertindo-pt,1156799,IDR,Millions
sots,/equities/satria-mega-kencana,1115731,IDR,Millions
pkpk,/equities/perdana-karya,101544,IDR,Millions
axio,/equities/tera-data-indonusa-tbk-pt,1192869,IDR,Millions
mfmi,/equities/multifiling-mi,101248,IDR,Millions
esip,/equities/sinergi-inti-plastindo,1155549,IDR,Millions
bima,/equities/primarindo-asia-infrastructure-tbk,962001,IDR,Millions
kayu,/equities/darmi-bersaudara-tbk-pt,1141286,IDR,Millions
coal,/equities/black-diamond-resources-tbk-pt,1193786,IDR,Millions
flmc,/equities/falmaco-nonwoven-industri-pt-tbk,1174972,IDR,Millions
zata,/equities/bersama-zatta-jaya-tbk-pt,1196812,IDR,Millions
bptr,/equities/batavia-prosperindo-trans,1088203,IDR,Millions
tbms,/equities/tembaga-mulia,943647,USD,Millions
mtsm,/equities/metro-realty,101246,IDR,Millions
ppgl,/equities/prima-globalindo-logistik-tbk,1163501,IDR,Millions
rbms,/equities/ristia-bintang,101559,IDR,Millions
indx,/equities/tanah-laut,101598,IDR,Millions
zyrx,/equities/zyrexindo-mandiri-buana-pt-tbk,1172053,IDR,Millions
csra,/equities/cisadane-sawit-raya-pt,1156364,IDR,Millions
ptpw,/equities/pratama-widya-tbk-pt,1156724,IDR,Millions
inru,/equities/toba-pulp-lest,101610,USD,Millions
jast,/equities/jasnita-telekom,1131181,IDR,Millions
pack,/equities/pt-solusi-kemasan-digital-tbk,1200223,IDR,Millions
soul,/equities/mitra-tirta-buwana-pt-tbk,1198665,IDR,Millions
nick,/equities/charnic-capital,1084856,IDR,Millions
foru,/equities/fortune-indone,101407,IDR,Millions
asbi,/equities/asuransi-binta,102978,IDR,Millions
nayz,/equities/hassana-boga-sejahtera-pt-tbk,1199913,IDR,Millions
ippe,/equities/indo-pureco-pratama-tbk-pt,1180957,IDR,Millions
bika,/equities/binakarya-jaya-abadi-tbk-pt,955952,IDR,Millions
pgjo,/equities/tourindo-guide-indonesia-pt,1156306,IDR,Millions
bsml,/equities/bintang-samudera-mandiri-lines,1182896,IDR,Millions
ccsi,/equities/communication-cable-systems-tbk-pt,1137585,IDR,Millions
jati,/equities/informasi-teknologi-indonesia-tbk,1202595,IDR,Millions
runs,/equities/global-sukses-solusi-tbk-pt,1177101,IDR,Millions
meds,/equities/hetzer-medical-indonesia-tbk-pt,1193379,IDR,Millions
coco,/equities/pt-wahana-interfood,1123886,IDR,Millions
bino,/equities/perma-plasindo-tbk-pt,1180433,IDR,Millions
kpal,/equities/steadfast-marine,1081670,USD,Millions
swid,/equities/saraswanti-indoland-dev-pt,1198059,IDR,Millions
suni,/equities/sunindo-pratama-pt-tbk,1198684,IDR,Millions
jksw,/equities/jkt-kyoei-stee,101237,IDR,Millions
arta,/equities/arthavest-tbk,101297,IDR,Millions
ntbk,/equities/nusatama-berkah-tbk-pt,1185394,IDR,Millions
talf,/equities/tunas-alfin,101618,IDR,Millions
panr,/equities/panorama-sentr,101538,IDR,Millions
gdyr,/equities/goodyear-indon,943650,USD,Millions
mbto,/equities/martina-berto,101492,IDR,Millions
kobx,/equities/kobexindo-trac,101476,IDR,Millions
itic,/equities/indonesian-tobacco-tbk-pt,1141287,IDR,Millions
bmbl,/equities/lavender-bina-cendikia-pt-tbk,1198742,IDR,Millions
ayls,/equities/agro-yasa-lestari-pt-tbk,1156772,IDR,Millions
baut,/equities/mitra-angkasa-sejahtera-pt-tbk,1184921,IDR,Millions
sima,/equities/siwani-makmur,943995,USD,Millions
epac,/equities/megalestari-epack-sentosaraya-pt,1163148,IDR,Millions
ipac,/equities/era-graharealty-pt-tbk,1174795,IDR,Millions
dgns,/equities/diagnos-laboratorium-utama-pt-tbk,1170439,IDR,Millions
oils,/equities/indo-oil-perkasa-pt,1177035,IDR,Millions
rimo,/equities/rimo-catur-les,101558,USD,Millions
okas,/equities/ancora-indones,101293,USD,Millions
opms,/equities/optima-prima-metal-sinergi,1153000,IDR,Millions
snlk,/equities/sunter-lakeside-hotel-tbk-pt,1172047,IDR,Millions
pege,/equities/panca-global-s,943654,IDR,Millions
icon,/equities/island-concept,101458,IDR,Millions
idea,/equities/idea-indonesia-akademi-tbk-pt,1177229,IDR,Millions
nely,/equities/pelayaran-nell,101253,IDR,Millions
pamg,/equities/bima-sakti-pertiwi-tbk-pt,1141285,IDR,Millions
sema,/equities/semacom-integrated-tbk-pt,1184060,IDR,Millions
fimp,/equities/fimperkasa-utama-tbk-pt,1172380,IDR,Millions
bayu,/equities/bayu-buana-tbk,101219,IDR,Millions
ptdu,/equities/djasa-ubersakti-tbk,1167988,IDR,Millions
bbss,/equities/bumi-benowo-sukses-sejahtera-pt,1159526,IDR,Millions
nzia,/equities/nusantara-almazia,1153026,IDR,Millions
oasa,/equities/protech-mitra-perkasa-tbk-pt,986049,IDR,Millions
mglv,/equities/panca-anugrah-wisesa-tbk-pt,1174310,IDR,Millions
cakk,/equities/cahayaputra-asa-keramik,1097641,IDR,Millions
aksi,/equities/majapahit-intiora,1052879,IDR,Millions
truk,/equities/guna-timur-raya,1078225,IDR,Millions
uang,/equities/pt-pakuan-tbk,1163264,IDR,Millions
tyre,/equities/king-tire-indonesia-tbk-pt,1202598,IDR,Millions
lflo,/equities/imago-mulia-persada-tbk-pt,1172375,IDR,Millions
uvcr,/equities/trimegah-karya-pratama-tbk-pt,1175498,IDR,Millions
vast,/equities/vastland-indonesia-pt-tbk,1200224,IDR,Millions
voks,/equities/voksel-electri,101628,IDR,Millions
vrna,/equities/verena-multi-f,101625,IDR,Millions
wgsh,/equities/wira-global-solusi-tbk-pt,1180752,IDR,Millions
wico,/equities/wicaksana-oves,101632,IDR,Millions
wifi,/equities/solusi-sinergi-digital-tbk-pt,1177005,IDR,Millions
wows,/equities/ginting-jaya-energi,1155107,IDR,Millions
yelo,/equities/yelooo-integra,1097715,IDR,Millions
zone,/equities/mega-perintis,1115772,IDR,Millions
incf,/equities/indo-komoditi-korpora-tbk-pt,987137,IDR,Millions
mpow,/equities/megapower-makmur,1024518,IDR,Millions
indo,/equities/royalindo-investa-wijaya,1156446,IDR,Millions
hajj,/equities/arsy-buana-travelindo-tbk-pt,1202065,IDR,Millions
king,/equities/hoffmen-cleanindo-pt-tbk,1200389,IDR,Millions
unit,/equities/nusantara-inti,102971,USD,Millions
trus,/equities/trust-finance-indonesia-tbk-pt,945723,IDR,Millions
gold,/equities/golden-retail,101417,IDR,Millions
euro,/equities/estee-gold-feet-pt-tbk,1193314,IDR,Millions
digi,/equities/arkadia-digital,1096062,IDR,Millions
food,/equities/sentra-food,1117859,IDR,Millions
glob,/equities/global-telesho,101415,IDR,Millions
real,/equities/repower-asia-indonesia-pt,1155912,IDR,Millions
asha,/equities/cilacap-samudera-fishing-industry,1191905,IDR,Millions
cntx,/equities/centex-tbk-sp,102969,USD,Millions
